census_tract,income,crime_rate_property,ownership_rate,non_english_french,move_rate,immigration_rate,unemployment_rate
535020000,42906,0.016274723563307895,0.17364896433577323,0.4641021647718424,0.19233764211182058,0.49914343560193114,0.05061516897679489
535020100,49509,0.02859439595774001,0.25953146531924665,0.3594395957740009,0.16995865870463941,0.37666513550757924,0.03330271015158475
535020200,71770,0.01942046855733662,0.29901356350184954,0.2928483353884094,0.11713933415536375,0.27435265104808876,0.04623921085080148
535020300,53958,0.02336300063572791,0.2590591226954863,0.36554354736172917,0.12396694214876033,0.3750794659885569,0.030197075651621105
535020400,51868,0.0278540379775795,0.2562342713337909,0.25051475634866166,0.17616106154198125,0.28368794326241137,0.028597574925646307
535020601,52182,0.032413434001562096,0.25644363447019003,0.3527727154386878,0.1288726894038011,0.3853163238739912,0.04295756313460036
535020602,51033,0.025328492392807746,0.20228215767634855,0.31466113416320884,0.15214384508990317,0.33195020746887965,0.039764868603042874
535020700,43787,0.034301075268817205,0.22795698924731184,0.3935483870967742,0.15483870967741936,0.4064516129032258,0.060215053763440864
535020800,32980,0.03238893322692205,0.1263633945198191,0.37376961957967547,0.15429635541367384,0.47752061718542166,0.04655493482309125
535020900,36316,0.0390625,0.20241477272727273,0.41015625,0.1473721590909091,0.3888494318181818,0.04616477272727273
535021000,77524,0.026887410543241612,0.4241003931055337,0.41578469912307225,0.19277290595706079,0.42258844874508616,0.031750831569398244
535021100,60045,0.0221672255042312,0.295385597956251,0.4382883602107616,0.1005907711959125,0.3967747086060993,0.035126935973175795
535021200,66085,0.02036590642184313,0.31429631003152236,0.33283886519562395,0.11403671425922492,0.33840163174485444,0.025959577229742258
535021300,66388,0.18973999856345616,0.3382891618185736,0.447101917690153,0.1702219349278173,0.43201896143072616,0.028011204481792718
535021400,72523,0.09241642480909383,0.34343760077394386,0.5465978716543051,0.15962592712028378,0.46114156723637534,0.025798129635601418
535021500,57874,0.03906879329788948,0.32866118898018365,0.4285484130820042,0.10713710327050105,0.3794103431609473,0.028193974544868695
535021600,92292,0.016026259895732767,0.3379030700907511,0.3263178219733539,0.1245414172620197,0.304112763081676,0.02606680826414366
535021700,42799,0.010095011876484561,0.05768578215134035,0.6269087207329488,0.19596199524940616,0.5641330166270784,0.058534102477095354
535021800,90370,0.02434383202086614,0.3779527559055118,0.25984251968503935,0.11023622047244094,0.24803149606299213,0.03937007874015748
535021900,68945,0.017986964151416394,0.3522186011531712,0.40737026823765354,0.08899473552268738,0.3296565555277012,0.028829280521433943
535022000,76810,0.016330390920554855,0.2509457755359395,0.3669609079445145,0.09709962168978563,0.3896595208070618,0.02648171500630517
535022101,75062,0.014103585657370517,0.3545816733067729,0.3466135458167331,0.10597609561752988,0.3561752988047809,0.023107569721115537
535022102,48016,0.02000786163514151,0.1179245283018868,0.47759433962264153,0.14386792452830188,0.49764150943396224,0.0294811320754717
535022201,75538,0.023331439035233947,0.3125591968175791,0.4612616025762455,0.10229210077666225,0.43758287554461073,0.03125591968175791
