CTW_190,SLM_01,CTW_140A,DUR07,AGEGR10,SEX,MARSTAT,CXRFLAG,HHINCG1,LUC_RST,PRV
6,8,6,20,5,2,2,2,7,1,24
6,6,6,75,6,2,4,2,4,1,48
6,9,6,115,3,2,1,1,8,1,10
6,5,6,0,6,1,5,2,3,1,24
6,10,6,75,7,1,3,2,7,1,35
3,6,1,20,2,1,6,2,8,2,13
1,5,1,50,4,1,1,2,5,1,35
4,7,1,75,2,1,6,2,3,1,13
6,9,2,60,2,1,6,1,3,1,24
3,8,1,40,5,2,2,2,5,1,24
6,8,6,0,7,2,1,2,5,1,35
1,8,1,85,2,1,2,2,6,1,48
4,6,1,150,3,2,1,1,7,1,35
6,8,6,20,5,2,1,2,2,1,35
6,8,6,50,7,2,3,2,1,1,12
6,8,6,95,7,2,1,2,5,1,48
6,7,2,40,1,1,6,2,4,1,59
6,6,6,0,5,1,1,2,2,2,13
4,9,1,10,3,2,1,1,8,1,13
6,4,6,0,4,1,1,2,4,1,13
6,10,6,0,7,2,3,2,3,1,35
1,6,1,0,5,1,6,2,8,1,59
6,10,6,160,2,2,1,1,7,1,35
4,8,1,0,3,1,1,1,4,1,35
4,8,1,165,6,1,1,1,4,2,13
4,9,1,60,6,1,1,2,4,1,48
6,10,6,240,6,1,1,2,5,1,13
4,10,1,70,3,2,2,2,8,1,24
1,5,1,80,4,1,1,2,3,1,35
6,9,6,85,3,2,1,2,8,1,59
4,7,1,95,3,2,1,1,7,2,13
6,7,2,20,2,2,6,2,5,1,35
4,8,2,125,5,2,2,2,6,1,47
4,8,1,55,4,1,2,2,3,1,24
6,9,6,30,5,2,1,2,5,2,46
6,9,6,45,1,2,6,2,3,1,46
6,6,2,35,2,1,6,2,2,1,35
1,6,2,120,4,2,1,1,5,1,35
6,10,6,0,6,1,1,2,3,1,46
1,7,1,25,4,2,4,1,2,1,59
6,9,6,15,7,2,6,2,7,1,24
6,8,6,270,7,2,1,2,4,1,35
6,9,6,50,6,1,6,2,1,1,10
4,9,1,30,4,2,2,1,6,1,35
6,10,6,65,4,2,1,1,5,1,35
4,8,2,60,1,1,6,2,2,1,35
6,8,6,0,5,2,1,2,5,1,47
4,8,1,100,3,1,1,1,8,1,46
2,7,1,140,5,2,1,1,2,1,35
6,8,6,70,5,1,1,2,8,1,35
